geography,age,outcome_name,value,pct_captured
Alabama,Total,Diabetes,7.9,13.082763485020536
Alaska,Total,Diabetes,4.5,2.287924060161614
Arizona,Total,Diabetes,4.9,23.24271531696435
Arkansas,Total,Diabetes,6.3,41.81599429732606
California,Total,Diabetes,4.4,24.0331723809441
Colorado,Total,Diabetes,3.8,56.99389639598712
Connecticut,Total,Diabetes,5.5,77.60626627798287
Delaware,Total,Diabetes,7.1,52.95714803664762
District of Columbia,Total,Diabetes,3.4,22.49419603778943
Florida,Total,Diabetes,4.8,42.52455580338712
Georgia,Total,Diabetes,5.6,35.5008251287102
Hawaii,Total,Diabetes,5.8,36.447590571160056
Idaho,Total,Diabetes,6.2,56.95558167096026
Illinois,Total,Diabetes,7.5,48.72595630586719
Indiana,Total,Diabetes,7.9,45.777653028880195
Iowa,Total,Diabetes,6.5,59.56034588514323
Kansas,Total,Diabetes,6.8,32.90199273626163
Kentucky,Total,Diabetes,7.8,60.52571559281296
Louisiana,Total,Diabetes,6.8,51.95788122100657
Maine,Total,Diabetes,7.3,61.64912611657969
Maryland,Total,Diabetes,6.5,36.0239698985695
Massachusetts,Total,Diabetes,5.9,50.1871321074874
Michigan,Total,Diabetes,7.3,53.030525578503664
Minnesota,Total,Diabetes,6.7,50.11228342190914
Mississippi,Total,Diabetes,8.5,66.06797453204778
Missouri,Total,Diabetes,7.1,18.769789436971283
Montana,Total,Diabetes,3.7,32.843434652655255
Nebraska,Total,Diabetes,6.7,43.54397687908664
Nevada,Total,Diabetes,3.5,37.681442241499354
New Hampshire,Total,Diabetes,6,45.34195711188442
New Jersey,Total,Diabetes,6,32.45368433090493
New Mexico,Total,Diabetes,5.8,15.328729106281225
New York,Total,Diabetes,6.3,36.14647861556286
North Carolina,Total,Diabetes,7.5,60.181535256701494
North Dakota,Total,Diabetes,6,84.70163342574585
Ohio,Total,Diabetes,8.5,76.76749457069515
Oklahoma,Total,Diabetes,6.9,33.91058464044805
Oregon,Total,Diabetes,5.4,42.15387182426601
Pennsylvania,Total,Diabetes,6.8,55.21741778553889
Rhode Island,Total,Diabetes,5.7,16.922310474207126
South Carolina,Total,Diabetes,7.4,67.50085599193369
South Dakota,Total,Diabetes,5.6,55.554358488747255
Tennessee,Total,Diabetes,6.1,21.374613911194945
Texas,Total,Diabetes,5.2,41.03068952842436
Utah,Total,Diabetes,3.8,24.376100539399697
Vermont,Total,Diabetes,4.4,68.26227290508497
Virginia,Total,Diabetes,7.2,59.46725881880981
Washington,Total,Diabetes,5.1,25.455209965022018
West Virginia,Total,Diabetes,8.3,60.13095701449544
Wisconsin,Total,Diabetes,6.8,56.16873998686233
Wyoming,Total,Diabetes,6.1,32.746891046595714
